序号,可溶性固形物（SSC）,酸碱性（PH）,果皮硬度（N）,色差,maturity_label,maturity_name
507,11.5,3.16,794.939,13.9766575512958,1,半成熟
508,11.3,3.11,847.396,15.1420753535931,1,半成熟
509,10.9,3.18,739.251,16.3880076374177,1,半成熟
510,12.6,3.22,734.482,11.3468153071373,2,成熟
511,11.5,3.15,989.847,15.7301233529262,1,半成熟
512,11.6,3.13,1136.913,15.6944731431888,1,半成熟
513,10.6,3.23,666.718,13.0174784500968,1,半成熟
514,10.7,3.22,766.633,14.0693625418944,1,半成熟
515,11.7,3.15,878.702,14.9834310599607,1,半成熟
516,11.8,3.13,937.39,14.3749262290153,1,半成熟
517,11.6,3.17,1065.457,13.7152716493347,1,半成熟
518,11.4,3.18,892.778,13.5047122458438,1,半成熟
519,11.7,3.22,829.552,12.954064821981,1,半成熟
520,11.8,3.2,719.099,13.1750258552899,1,半成熟
521,11.6,3.23,806.4,14.4297070602097,1,半成熟
522,11.4,3.2,798.246,13.5010642813273,1,半成熟
523,11.7,3.14,927.006,15.0671193861686,1,半成熟
524,11.8,3.13,967.156,15.5609496558516,1,半成熟
525,12.5,3.21,779.094,10.1613261599241,2,成熟
526,12.0,3.16,1049.996,13.4400454585087,1,半成熟
527,12.2,3.19,864.011,12.2942603532527,1,半成熟
528,11.3,3.16,975.079,11.0622263796994,1,半成熟
529,12.4,3.16,870.164,14.9518972656061,1,半成熟
530,11.8,3.1,946.773,15.3297791128647,1,半成熟
531,12.1,3.15,894.931,13.7593672790648,1,半成熟
532,11.5,3.21,806.861,12.5539335733608,1,半成熟
533,11.7,3.18,732.405,13.4373654422731,1,半成熟
534,11.7,3.21,697.716,12.9810412680947,1,半成熟
535,12.3,3.14,994.308,13.4628700498053,1,半成熟
536,12.0,3.23,750.942,10.6128809132846,2,成熟
537,12.1,3.24,780.248,12.5356372037341,1,半成熟
538,12.0,3.14,892.854,13.8000989951211,1,半成熟
539,12.1,3.19,678.717,11.2182332458365,2,成熟
540,12.0,3.18,887.701,16.166622925464,1,半成熟
541,12.2,3.26,861.78,13.258110216538,1,半成熟
542,12.4,3.23,832.398,12.9381656361464,1,半成熟
543,11.9,3.24,972.925,12.6321268964996,1,半成熟
544,12.1,3.2,1064.072,12.8664160800393,1,半成熟
545,13.2,3.23,896.316,10.9095955219006,1,半成熟
546,12.4,3.21,931.544,12.9346155697839,1,半成熟
547,11.9,3.19,737.559,11.9986246807857,1,半成熟
548,11.8,3.27,635.336,12.6110539356124,2,成熟
549,12.1,3.28,756.942,13.2679028648668,1,半成熟
550,12.4,3.17,1090.532,13.7667843102552,1,半成熟
